order_date,year,month,product_code,product_type,revenue,products
2017-12-04,2017,December,Prod221,"Distribution",80764,205
2017-12-05,2017,December,Prod232,"Own Brand",70895,838
2017-12-12,2017,December,Prod236,"Distribution",126761,1473
2017-12-05,2017,December,Prod238,"Own Brand",43998,724
2017-12-21,2017,December,Prod239,"Own Brand",573746,8834
2017-12-05,2017,December,Prod241,"Own Brand",55444,643
2017-12-01,2017,December,Prod242,"Own Brand",12032,125
2017-12-04,2017,December,Prod245,"Own Brand",406642,3400
2017-12-19,2017,December,Prod246,"Own Brand",105477,863
2017-12-01,2017,December,Prod247,"Own Brand",93,1
2017-12-01,2017,December,Prod248,"Distribution",911,9
2017-12-05,2017,December,Prod249,"Distribution",11780,95
2017-12-05,2017,December,Prod250,"Distribution",10886,122
2017-12-20,2017,December,Prod251,"Distribution",106494,1108
2017-12-27,2017,December,Prod252,"Distribution",370335,1929
2017-12-20,2017,December,Prod253,"Own Brand",6843,149
2017-12-04,2017,December,Prod254,"Own Brand",54496,410
2017-12-21,2017,December,Prod255,"Own Brand",28894,147
2017-12-13,2017,December,Prod258,"Own Brand",38958,320
2017-12-06,2017,December,Prod259,"Own Brand",347,3
2017-12-20,2017,December,Prod260,"Own Brand",87080,1018
2017-12-11,2017,December,Prod263,"Distribution",10006,66
2017-12-29,2017,December,Prod264,"Distribution",5615,39
2017-12-05,2017,December,Prod265,"Distribution",21482,56
2017-12-11,2017,December,Prod267,"Distribution",80239,128
2017-12-07,2017,December,Prod268,"Own Brand",13694,20
2017-12-05,2017,December,Prod269,"Own Brand",20952,74
2017-12-04,2017,December,Prod270,"Own Brand",16659,59
2017-12-04,2017,December,Prod271,"Own Brand",90265,245
2017-12-05,2017,December,Prod272,"Own Brand",3412,12
2017-12-27,2017,December,Prod273,"Own Brand",4372,33
2017-12-04,2017,December,Prod274,"Own Brand",10235,23
2017-12-11,2017,December,Prod275,"Own Brand",18543,49
2017-12-15,2017,December,Prod276,"Own Brand",10677,36
2017-12-04,2017,December,Prod278,"Distribution",13167,46
2017-12-04,2017,December,Prod279,"Distribution",29923,72
2017-11-20,2017,November,Prod003,"Own Brand",331967,698
2017-11-03,2017,November,Prod004,"Own Brand",11592,23
2017-11-27,2017,November,Prod006,"Own Brand",1116,1
2017-11-24,2017,November,Prod008,"Own Brand",17704,40
2017-11-14,2017,November,Prod013,"Own Brand",35198,24
2017-11-20,2017,November,Prod014,"Own Brand",1366,3
2017-11-21,2017,November,Prod016,"Own Brand",11129,9
2017-11-06,2017,November,Prod017,"Own Brand",147195,70
2017-11-16,2017,November,Prod019,"Own Brand",21278,16
2017-11-14,2017,November,Prod020,"Own Brand",51005,47
2017-11-02,2017,November,Prod021,"Own Brand",69633,31
2017-11-17,2017,November,Prod024,"Distribution",83092,56
2017-11-27,2017,November,Prod025,"Distribution",9514,3
2017-11-02,2017,November,Prod026,"Distribution",71292,129
2017-11-14,2017,November,Prod027,"Distribution",56894,128
2017-11-06,2017,November,Prod030,"Distribution",337763,685
2017-11-09,2017,November,Prod033,"Distribution",41279,14
2017-11-22,2017,November,Prod035,"Own Brand",3375,5
2017-11-03,2017,November,Prod039,"Own Brand",50195,32
2017-11-24,2017,November,Prod053,"Own Brand",621944,2551
2017-11-14,2017,November,Prod057,"Own Brand",139129,279
2017-11-01,2017,November,Prod060,"Own Brand",461188,1021
2017-11-16,2017,November,Prod062,"Own Brand",38338,82
2017-11-09,2017,November,Prod064,"Own Brand",273762,978
2017-11-28,2017,November,Prod065,"Own Brand",184463,680
2017-11-14,2017,November,Prod079,"Own Brand",1547,3
2017-11-21,2017,November,Prod081,"Own Brand",38224,46
2017-11-29,2017,November,Prod088,"Own Brand",10741,333
2017-11-22,2017,November,Prod089,"Own Brand",4092,40
2017-11-02,2017,November,Prod090,"Own Brand",430574,9968
2017-11-02,2017,November,Prod091,"Own Brand",15024,267
2017-11-30,2017,November,Prod092,"Own Brand",3681,100
2017-11-03,2017,November,Prod093,"Own Brand",243086,2343
2017-11-14,2017,November,Prod094,"Own Brand",2418,22
2017-11-06,2017,November,Prod095,"Own Brand",57126,314
2017-11-23,2017,November,Prod098,"Own Brand",39036,293
2017-11-14,2017,November,Prod099,"Own Brand",1791213,4597
2017-11-13,2017,November,Prod100,"Own Brand",31017,104
2017-11-09,2017,November,Prod101,"Own Brand",152132,445
2017-11-27,2017,November,Prod102,"Own Brand",364869,335
2017-11-03,2017,November,Prod103,"Own Brand",31221,26
2017-11-02,2017,November,Prod104,"Own Brand",306,2
2017-11-17,2017,November,Prod105,"Own Brand",653998,2179
2017-11-09,2017,November,Prod106,"Own Brand",120402,138
2017-11-10,2017,November,Prod110,"Distribution",17439,14
2017-11-03,2017,November,Prod113,"Distribution",297686,921
2017-11-15,2017,November,Prod114,"Distribution",148591,406
2017-11-09,2017,November,Prod116,"Distribution",186580,534
2017-11-21,2017,November,Prod117,"Distribution",401704,1925
2017-11-07,2017,November,Prod118,"Distribution",43778,176
2017-11-16,2017,November,Prod122,"Own Brand",42415,190
2017-11-02,2017,November,Prod123,"Own Brand",277027,706
2017-11-10,2017,November,Prod126,"Own Brand",88299,379
2017-11-03,2017,November,Prod128,"Distribution",33074,54
2017-11-10,2017,November,Prod129,"Distribution",409751,1119
2017-11-16,2017,November,Prod133,"Own Brand",335889,442
2017-11-10,2017,November,Prod134,"Own Brand",50967,161
2017-11-03,2017,November,Prod135,"Own Brand",23362,130
2017-11-13,2017,November,Prod136,"Own Brand",60,1
2017-11-06,2017,November,Prod137,"Own Brand",10003,41
2017-11-06,2017,November,Prod139,"Own Brand",1344,13
2017-11-07,2017,November,Prod140,"Own Brand",13661,80
2017-11-03,2017,November,Prod152,"Own Brand",63941,63
2017-11-08,2017,November,Prod157,"Own Brand",181,1
2017-11-03,2017,November,Prod158,"Distribution",542,2
2017-11-30,2017,November,Prod174,"Distribution",116,1
2017-11-03,2017,November,Prod175,"Distribution",432,3
2017-11-14,2017,November,Prod176,"Distribution",60884,60
2017-11-10,2017,November,Prod177,"Distribution",213226,132
2017-11-16,2017,November,Prod178,"Own Brand",120411,106
2017-11-03,2017,November,Prod179,"Own Brand",149152,127
2017-11-29,2017,November,Prod180,"Own Brand",157936,135
2017-11-24,2017,November,Prod183,"Own Brand",9167,33
2017-11-29,2017,November,Prod184,"Own Brand",27106,52
2017-11-29,2017,November,Prod185,"Own Brand",37138,54
2017-11-17,2017,November,Prod187,"Own Brand",10438,15
2017-11-02,2017,November,Prod188,"Distribution",285534,197
2017-11-08,2017,November,Prod192,"Distribution",139,1
2017-11-02,2017,November,Prod194,"Own Brand",815,4
2017-11-17,2017,November,Prod196,"Own Brand",13075,17
2017-11-03,2017,November,Prod197,"Own Brand",37509,106
2017-11-02,2017,November,Prod199,"Own Brand",54186,196
2017-11-24,2017,November,Prod205,"Distribution",1454,5
2017-11-17,2017,November,Prod206,"Distribution",183764,159
2017-11-03,2017,November,Prod207,"Distribution",17654,15
2017-11-27,2017,November,Prod208,"Own Brand",2370,14
2017-11-03,2017,November,Prod209,"Own Brand",460226,1144
2017-11-09,2017,November,Prod210,"Own Brand",85990,91
2017-11-03,2017,November,Prod212,"Own Brand",175412,184
2017-11-03,2017,November,Prod213,"Own Brand",52171,187
2017-11-03,2017,November,Prod214,"Own Brand",134491,108
2017-11-03,2017,November,Prod215,"Own Brand",408634,318
2017-11-03,2017,November,Prod216,"Own Brand",161519,340
2017-11-03,2017,November,Prod218,"Distribution",7155,37
2017-11-03,2017,November,Prod219,"Distribution",432,3
2017-11-03,2017,November,Prod220,"Distribution",108957,141
2017-11-03,2017,November,Prod221,"Distribution",79709,204
2017-11-02,2017,November,Prod232,"Own Brand",436115,5750
2017-11-20,2017,November,Prod236,"Distribution",90651,1000
2017-11-15,2017,November,Prod238,"Own Brand",50992,864
2017-11-21,2017,November,Prod239,"Own Brand",665050,10171
2017-11-30,2017,November,Prod240,"Own Brand",65,1
2017-11-13,2017,November,Prod241,"Own Brand",62935,705
2017-11-24,2017,November,Prod242,"Own Brand",4626,60
2017-11-01,2017,November,Prod245,"Own Brand",536582,4470
2017-11-14,2017,November,Prod246,"Own Brand",197283,1718
2017-11-02,2017,November,Prod248,"Distribution",505,6
2017-11-13,2017,November,Prod249,"Distribution",27953,250
2017-11-10,2017,November,Prod250,"Distribution",65086,717
2017-11-03,2017,November,Prod251,"Distribution",42911,433
2017-11-14,2017,November,Prod252,"Distribution",289112,1551
2017-11-13,2017,November,Prod253,"Own Brand",13686,298
2017-11-03,2017,November,Prod254,"Own Brand",86324,660
2017-11-22,2017,November,Prod255,"Own Brand",34749,216
2017-11-13,2017,November,Prod257,"Own Brand",32500,360
2017-11-27,2017,November,Prod258,"Own Brand",20306,154
2017-11-07,2017,November,Prod260,"Own Brand",87020,1002
2017-11-09,2017,November,Prod263,"Distribution",11156,69
2017-11-07,2017,November,Prod264,"Distribution",6587,51
2017-11-02,2017,November,Prod265,"Distribution",21171,60
2017-11-02,2017,November,Prod267,"Distribution",164673,238
2017-11-03,2017,November,Prod268,"Own Brand",6356,11
2017-11-13,2017,November,Prod269,"Own Brand",13013,54
2017-11-06,2017,November,Prod270,"Own Brand",12151,53
2017-11-20,2017,November,Prod271,"Own Brand",77921,209
2017-11-03,2017,November,Prod272,"Own Brand",2089,10
2017-11-03,2017,November,Prod273,"Own Brand",3079,27
2017-11-03,2017,November,Prod274,"Own Brand",14370,31
2017-11-23,2017,November,Prod275,"Own Brand",24287,62
2017-11-07,2017,November,Prod276,"Own Brand",7052,32
2017-11-02,2017,November,Prod277,"Own Brand",778,4
2017-11-08,2017,November,Prod278,"Distribution",19383,65
2017-11-08,2017,November,Prod279,"Distribution",22637,69
2017-10-10,2017,October,Prod001,"Own Brand",41241,100
2017-10-09,2017,October,Prod004,"Own Brand",1292,3
2017-10-25,2017,October,Prod006,"Own Brand",1500,3
2017-10-06,2017,October,Prod011,"Own Brand",41931,28
2017-10-16,2017,October,Prod013,"Own Brand",176375,269
2017-10-13,2017,October,Prod016,"Own Brand",8181,8
2017-10-13,2017,October,Prod017,"Own Brand",41273,20
2017-10-09,2017,October,Prod019,"Own Brand",14722,13
2017-10-16,2017,October,Prod020,"Own Brand",204839,188
2017-10-11,2017,October,Prod021,"Own Brand",385571,134
2017-10-05,2017,October,Prod024,"Distribution",171264,113
2017-10-13,2017,October,Prod025,"Distribution",174587,51
2017-10-05,2017,October,Prod026,"Distribution",237647,429
2017-10-11,2017,October,Prod027,"Distribution",10033,9
2017-10-20,2017,October,Prod030,"Distribution",42371,25
2017-10-06,2017,October,Prod033,"Distribution",71263,28
2017-10-09,2017,October,Prod038,"Own Brand",301,1
2017-10-11,2017,October,Prod039,"Own Brand",71147,44
2017-10-17,2017,October,Prod053,"Own Brand",228976,854
2017-10-13,2017,October,Prod057,"Own Brand",332663,550
2017-10-09,2017,October,Prod060,"Own Brand",423458,981
2017-10-20,2017,October,Prod062,"Own Brand",66513,140
2017-10-31,2017,October,Prod064,"Own Brand",188542,720
2017-10-18,2017,October,Prod065,"Own Brand",104389,421
2017-10-06,2017,October,Prod066,"Distribution",3672,8
2017-10-11,2017,October,Prod069,"Distribution",1486,3
2017-10-19,2017,October,Prod074,"Distribution",3237,5
2017-10-11,2017,October,Prod079,"Own Brand",4486,8
2017-10-27,2017,October,Prod081,"Own Brand",44190,64
2017-10-17,2017,October,Prod085,"Own Brand",19445,4000
2017-10-27,2017,October,Prod086,"Own Brand",36218,1500
2017-10-17,2017,October,Prod088,"Own Brand",12889,400
2017-10-12,2017,October,Prod090,"Own Brand",339102,7650
2017-10-12,2017,October,Prod091,"Own Brand",16306,234
2017-10-11,2017,October,Prod092,"Own Brand",5523,150
2017-10-06,2017,October,Prod093,"Own Brand",230865,2509
2017-10-11,2017,October,Prod094,"Own Brand",1353,12
2017-10-19,2017,October,Prod095,"Own Brand",23399,135
2017-10-17,2017,October,Prod098,"Own Brand",34057,271
2017-10-09,2017,October,Prod099,"Own Brand",992840,2878
2017-10-26,2017,October,Prod100,"Own Brand",19924,69
2017-10-06,2017,October,Prod101,"Own Brand",135910,388
2017-10-09,2017,October,Prod102,"Own Brand",347764,330
2017-10-20,2017,October,Prod103,"Own Brand",23592,19
2017-10-25,2017,October,Prod104,"Own Brand",231,1
2017-10-18,2017,October,Prod105,"Own Brand",374135,1234
2017-10-19,2017,October,Prod106,"Own Brand",211245,222
2017-10-25,2017,October,Prod109,"Own Brand",2597,38
2017-10-25,2017,October,Prod110,"Distribution",28371,21
2017-10-17,2017,October,Prod112,"Distribution",8444,51
2017-10-18,2017,October,Prod113,"Distribution",170556,500
2017-10-24,2017,October,Prod114,"Distribution",26484,105
2017-10-10,2017,October,Prod116,"Distribution",53353,168
2017-10-12,2017,October,Prod117,"Distribution",356072,1847
2017-10-11,2017,October,Prod118,"Distribution",29601,112
2017-10-05,2017,October,Prod119,"Distribution",12200,79
2017-10-17,2017,October,Prod122,"Own Brand",34090,176
2017-10-31,2017,October,Prod123,"Own Brand",229648,565
2017-10-09,2017,October,Prod126,"Own Brand",52383,239
2017-10-19,2017,October,Prod128,"Distribution",24529,38
2017-10-09,2017,October,Prod129,"Distribution",326589,908
2017-10-19,2017,October,Prod133,"Own Brand",311411,429
2017-10-18,2017,October,Prod134,"Own Brand",36478,119
2017-10-13,2017,October,Prod135,"Own Brand",18485,102
2017-10-09,2017,October,Prod136,"Own Brand",255,1
2017-10-13,2017,October,Prod137,"Own Brand",36485,155
2017-10-27,2017,October,Prod139,"Own Brand",844,6
2017-10-12,2017,October,Prod140,"Own Brand",8086,54
2017-10-25,2017,October,Prod152,"Own Brand",90014,82
2017-10-25,2017,October,Prod156,"Own Brand",1865,2
2017-10-09,2017,October,Prod157,"Own Brand",47463,80
2017-10-20,2017,October,Prod158,"Distribution",1084,4
2017-10-27,2017,October,Prod174,"Distribution",347,2
2017-10-13,2017,October,Prod175,"Distribution",1151,7
2017-10-23,2017,October,Prod176,"Distribution",8833,10
2017-10-25,2017,October,Prod177,"Distribution",180475,157
2017-10-24,2017,October,Prod178,"Own Brand",52092,62
2017-10-30,2017,October,Prod179,"Own Brand",375616,375
2017-10-20,2017,October,Prod180,"Own Brand",280208,301
2017-10-16,2017,October,Prod182,"Own Brand",2856,5
2017-10-19,2017,October,Prod185,"Own Brand",1991,4
2017-10-23,2017,October,Prod187,"Own Brand",20474,25
2017-10-09,2017,October,Prod188,"Distribution",187065,126
2017-10-24,2017,October,Prod191,"Distribution",755,2
2017-10-20,2017,October,Prod192,"Distribution",13787,53
2017-10-10,2017,October,Prod194,"Own Brand",699,4
2017-10-27,2017,October,Prod196,"Own Brand",9638,13
2017-10-10,2017,October,Prod197,"Own Brand",58329,160
2017-10-06,2017,October,Prod198,"Own Brand",73092,80
2017-10-05,2017,October,Prod199,"Own Brand",30963,112
2017-10-09,2017,October,Prod205,"Distribution",4135,9
2017-10-09,2017,October,Prod206,"Distribution",183918,161
2017-10-09,2017,October,Prod207,"Distribution",10175,10
2017-10-27,2017,October,Prod208,"Own Brand",2286,13
2017-10-16,2017,October,Prod209,"Own Brand",525017,1285
2017-10-30,2017,October,Prod210,"Own Brand",87296,94
2017-10-05,2017,October,Prod211,"Own Brand",4356,20
2017-10-09,2017,October,Prod212,"Own Brand",89807,98
2017-10-27,2017,October,Prod213,"Own Brand",98744,345
2017-10-09,2017,October,Prod214,"Own Brand",102892,84
2017-10-13,2017,October,Prod215,"Own Brand",109175,89
2017-10-11,2017,October,Prod216,"Own Brand",55602,120
2017-10-09,2017,October,Prod218,"Distribution",5656,31
2017-10-06,2017,October,Prod219,"Distribution",1150,5
2017-10-27,2017,October,Prod220,"Distribution",54610,71
2017-10-25,2017,October,Prod221,"Distribution",42548,111
2017-10-16,2017,October,Prod232,"Own Brand",33619,390
2017-10-05,2017,October,Prod236,"Distribution",90022,1087
2017-10-16,2017,October,Prod238,"Own Brand",48332,805
2017-10-18,2017,October,Prod239,"Own Brand",443031,6793
2017-10-13,2017,October,Prod240,"Own Brand",343,4
2017-10-19,2017,October,Prod241,"Own Brand",66913,788
2017-10-06,2017,October,Prod242,"Own Brand",1129,15
2017-10-11,2017,October,Prod245,"Own Brand",352054,2780
2017-10-20,2017,October,Prod246,"Own Brand",107958,880
2017-10-05,2017,October,Prod247,"Own Brand",56,1
2017-10-30,2017,October,Prod248,"Distribution",106,1
2017-10-04,2017,October,Prod249,"Distribution",11861,114
2017-10-16,2017,October,Prod250,"Distribution",8638,113
2017-10-06,2017,October,Prod251,"Distribution",48777,531
2017-10-12,2017,October,Prod252,"Distribution",252777,1309
2017-10-26,2017,October,Prod253,"Own Brand",6843,149
2017-10-20,2017,October,Prod254,"Own Brand",16189,103
2017-10-12,2017,October,Prod255,"Own Brand",15838,88
2017-10-10,2017,October,Prod256,"Own Brand",366,3
2017-10-13,2017,October,Prod258,"Own Brand",194,2
2017-10-10,2017,October,Prod260,"Own Brand",78433,867
2017-10-19,2017,October,Prod263,"Distribution",5085,38
2017-10-12,2017,October,Prod264,"Distribution",4686,32
2017-10-10,2017,October,Prod265,"Distribution",9664,36
2017-10-10,2017,October,Prod267,"Distribution",101421,141
2017-10-19,2017,October,Prod268,"Own Brand",5116,7
2017-10-10,2017,October,Prod269,"Own Brand",10551,43
2017-10-19,2017,October,Prod270,"Own Brand",11689,43
2017-10-20,2017,October,Prod271,"Own Brand",54583,146
2017-10-10,2017,October,Prod272,"Own Brand",1782,8
2017-10-09,2017,October,Prod273,"Own Brand",2542,19
2017-10-13,2017,October,Prod274,"Own Brand",6536,24
2017-10-31,2017,October,Prod275,"Own Brand",12223,38
2017-10-18,2017,October,Prod276,"Own Brand",3662,21
2017-10-18,2017,October,Prod277,"Own Brand",1556,8
2017-10-11,2017,October,Prod278,"Distribution",13361,48
2017-10-11,2017,October,Prod279,"Distribution",10817,42
2018-04-06,2018,April,Prod002,"Own Brand",1458,2
2018-04-23,2018,April,Prod010,"Own Brand",602,1
2018-04-03,2018,April,Prod011,"Own Brand",25235,24
2018-04-24,2018,April,Prod013,"Own Brand",30167,33
2018-04-10,2018,April,Prod017,"Own Brand",44899,21
2018-04-30,2018,April,Prod018,"Own Brand",166206,62
2018-04-19,2018,April,Prod023,"Distribution",33546,16
2018-04-03,2018,April,Prod024,"Distribution",254057,167
2018-04-24,2018,April,Prod025,"Distribution",25000,17
2018-04-20,2018,April,Prod028,"Distribution",47477,98
2018-04-23,2018,April,Prod029,"Distribution",2894,8
2018-04-24,2018,April,Prod032,"Distribution",6685,5
2018-04-03,2018,April,Prod033,"Distribution",16120,8
2018-04-24,2018,April,Prod034,"Own Brand",20106,20
2018-04-18,2018,April,Prod036,"Own Brand",20106,20
2018-04-23,2018,April,Prod037,"Own Brand",1157,3
2018-04-03,2018,April,Prod038,"Own Brand",87001,157
2018-04-04,2018,April,Prod039,"Own Brand",22381,20
2018-04-20,2018,April,Prod040,"Own Brand",1536925,1134
2018-04-05,2018,April,Prod042,"Own Brand",2056,4
2018-04-18,2018,April,Prod043,"Own Brand",69514,75
2018-04-16,2018,April,Prod046,"Own Brand",8426,7
2018-04-19,2018,April,Prod048,"Own Brand",1028,2
2018-04-11,2018,April,Prod049,"Own Brand",672361,587
2018-04-25,2018,April,Prod052,"Own Brand",259,1
2018-04-11,2018,April,Prod053,"Own Brand",440620,1679
2018-04-03,2018,April,Prod057,"Own Brand",287783,513
2018-04-03,2018,April,Prod060,"Own Brand",465817,1069
2018-04-30,2018,April,Prod062,"Own Brand",93096,302
2018-04-10,2018,April,Prod063,"Own Brand",158,2
2018-04-04,2018,April,Prod065,"Own Brand",525898,2085
2018-04-19,2018,April,Prod067,"Distribution",17778,160
2018-04-19,2018,April,Prod068,"Distribution",35556,320
2018-04-24,2018,April,Prod088,"Own Brand",2148,67
2018-04-18,2018,April,Prod089,"Own Brand",736,7
2018-04-12,2018,April,Prod090,"Own Brand",349225,6914
2018-04-04,2018,April,Prod091,"Own Brand",8722,143
2018-04-30,2018,April,Prod092,"Own Brand",72755,3433
2018-04-13,2018,April,Prod093,"Own Brand",209576,2535
2018-04-20,2018,April,Prod095,"Own Brand",51219,331
2018-04-10,2018,April,Prod096,"Own Brand",713,37
2018-04-19,2018,April,Prod097,"Own Brand",58667,3520
2018-04-03,2018,April,Prod098,"Own Brand",91541,658
2018-04-20,2018,April,Prod099,"Own Brand",952956,2996
2018-04-03,2018,April,Prod100,"Own Brand",39514,133
2018-04-11,2018,April,Prod101,"Own Brand",121273,356
2018-04-09,2018,April,Prod102,"Own Brand",236031,260
2018-04-06,2018,April,Prod103,"Own Brand",25934,21
2018-04-06,2018,April,Prod105,"Own Brand",504930,1705
2018-04-24,2018,April,Prod106,"Own Brand",231870,253
2018-04-13,2018,April,Prod110,"Distribution",72046,56
2018-04-16,2018,April,Prod113,"Distribution",159161,523
2018-04-05,2018,April,Prod114,"Distribution",27175,102
2018-04-09,2018,April,Prod116,"Distribution",74434,249
2018-04-16,2018,April,Prod117,"Distribution",294012,1537
2018-04-03,2018,April,Prod118,"Distribution",45651,175
2018-04-03,2018,April,Prod119,"Distribution",22328,144
2018-04-27,2018,April,Prod122,"Own Brand",33278,186
2018-04-18,2018,April,Prod123,"Own Brand",268975,765
2018-04-09,2018,April,Prod126,"Own Brand",62323,397
2018-04-23,2018,April,Prod128,"Distribution",55721,81
2018-04-04,2018,April,Prod129,"Distribution",475611,1400
2018-04-03,2018,April,Prod133,"Own Brand",333773,452
2018-04-06,2018,April,Prod134,"Own Brand",52662,156
2018-04-03,2018,April,Prod135,"Own Brand",121706,367
2018-04-11,2018,April,Prod137,"Own Brand",43619,176
2018-04-19,2018,April,Prod138,"Own Brand",1157,5
2018-04-13,2018,April,Prod139,"Own Brand",1199,9
2018-04-09,2018,April,Prod140,"Own Brand",12004,79
2018-04-13,2018,April,Prod148,"Own Brand",44050,30
2018-04-06,2018,April,Prod152,"Own Brand",15983,16
2018-04-18,2018,April,Prod157,"Own Brand",3694,7
2018-04-17,2018,April,Prod158,"Distribution",13519,7
2018-04-09,2018,April,Prod159,"Distribution",925228,1279
2018-04-03,2018,April,Prod160,"Distribution",52612,48
2018-04-12,2018,April,Prod161,"Distribution",312184,260
2018-04-24,2018,April,Prod164,"Own Brand",1189,3
2018-04-05,2018,April,Prod166,"Own Brand",390964,393
2018-04-03,2018,April,Prod167,"Own Brand",1132057,983
