year,month,product_code,product_type,revenue
2017,November,Prod099,"Own Brand",92093.9
2017,November,Prod239,"Own Brand",66094.2
2017,November,Prod232,"Own Brand",54784.7
2017,November,Prod206,"Distribution",48158.7
2017,November,Prod105,"Own Brand",33794.3
2017,November,Prod220,"Distribution",29763.3
2017,November,Prod060,"Own Brand",29627
2017,November,Prod212,"Own Brand",29340.6
2017,November,Prod188,"Distribution",29234.3
2017,November,Prod129,"Distribution",29168.8
2017,November,Prod178,"Own Brand",21656.7
2017,November,Prod177,"Distribution",21075
2017,November,Prod252,"Distribution",20050
2017,November,Prod113,"Distribution",16845.2
2017,November,Prod065,"Own Brand",16330.7
2017,November,Prod017,"Own Brand",13627.4
2017,November,Prod236,"Distribution",13237.4
2017,November,Prod101,"Own Brand",13172.5
2017,November,Prod090,"Own Brand",13144.8
2017,November,Prod221,"Distribution",11680.9
2017,November,Prod176,"Distribution",11208.3
2017,November,Prod197,"Own Brand",11158.1
2017,November,Prod180,"Own Brand",9974.2
2017,November,Prod126,"Own Brand",9203.9
2017,November,Prod133,"Own Brand",9139.7
2017,November,Prod026,"Distribution",8713.5
2017,November,Prod102,"Own Brand",8628
2017,November,Prod020,"Own Brand",8160.8
2017,November,Prod260,"Own Brand",7894.5
2017,November,Prod216,"Own Brand",7705
2017,November,Prod152,"Own Brand",7273.5
2017,November,Prod250,"Distribution",6422.6
2017,November,Prod064,"Own Brand",5953.7
2017,November,Prod103,"Own Brand",5663.3
2017,November,Prod114,"Distribution",4511.2
2017,November,Prod013,"Own Brand",3912
2017,November,Prod210,"Own Brand",3790.5
2017,November,Prod257,"Own Brand",3445
2017,November,Prod039,"Own Brand",2904.2
2017,November,Prod134,"Own Brand",2834.6
2017,November,Prod100,"Own Brand",2640.2
2017,November,Prod196,"Own Brand",2098.2
2017,November,Prod128,"Distribution",2017.9
2017,November,Prod275,"Own Brand",1921.8
2017,November,Prod027,"Distribution",1579.5
2017,November,Prod135,"Own Brand",1509.8
2017,November,Prod213,"Own Brand",1488
2017,November,Prod274,"Own Brand",1482.9
2017,November,Prod021,"Own Brand",1328.6
2017,November,Prod019,"Own Brand",1320.3
2017,November,Prod263,"Distribution",1168.9
2017,November,Prod258,"Own Brand",957
2017,November,Prod122,"Own Brand",845.8
2017,November,Prod187,"Own Brand",769.9
2017,November,Prod265,"Distribution",744.3
2017,November,Prod271,"Own Brand",742.6
2017,November,Prod199,"Own Brand",696.6
2017,November,Prod185,"Own Brand",695.6
2017,November,Prod270,"Own Brand",654.5
2017,November,Prod035,"Own Brand",627.8
2017,November,Prod207,"Distribution",563.4
2017,November,Prod268,"Own Brand",393.1
2017,November,Prod208,"Own Brand",386.2
2017,November,Prod242,"Own Brand",372.6
2017,November,Prod205,"Distribution",300.3
2017,November,Prod183,"Own Brand",275
2017,November,Prod272,"Own Brand",215.4
2017,November,Prod273,"Own Brand",210.8
2017,November,Prod079,"Own Brand",198.4
2017,November,Prod094,"Own Brand",189.2
2017,November,Prod276,"Own Brand",185.9
2017,November,Prod158,"Distribution",167.9
2017,November,Prod139,"Own Brand",118.2
2017,November,Prod014,"Own Brand",109.3
2017,November,Prod264,"Distribution",67.1
2017,November,Prod006,"Own Brand",55.8
2017,November,Prod192,"Distribution",55.6
2017,November,Prod277,"Own Brand",54.5
2017,November,Prod157,"Own Brand",54.3
2017,November,Prod248,"Distribution",51.7
2017,November,Prod194,"Own Brand",30.5
2017,November,Prod136,"Own Brand",23.4
2017,November,Prod098,"Own Brand",23.1
2017,November,Prod174,"Distribution",15.1
2017,November,Prod175,"Distribution",10.1
2017,November,Prod240,"Own Brand",8.4
2017,November,Prod137,"Own Brand",2.9
2017,November,Prod219,"Distribution",-13
2017,November,Prod081,"Own Brand",-19.8
2017,November,Prod104,"Own Brand",-32.1
2017,November,Prod251,"Distribution",-319.2
2017,November,Prod088,"Own Brand",-322.2
2017,November,Prod016,"Own Brand",-368.4
2017,November,Prod110,"Distribution",-441.9
2017,November,Prod092,"Own Brand",-478.5
2017,November,Prod269,"Own Brand",-517.7
2017,November,Prod089,"Own Brand",-539.8
2017,November,Prod218,"Distribution",-566.8
2017,November,Prod008,"Own Brand",-618.3
2017,November,Prod278,"Distribution",-631.4
2017,November,Prod249,"Distribution",-638.5
2017,November,Prod253,"Own Brand",-752.7
2017,November,Prod118,"Distribution",-1064
2017,November,Prod057,"Own Brand",-1119.3
2017,November,Prod095,"Own Brand",-1122
2017,November,Prod184,"Own Brand",-1316.4
2017,November,Prod255,"Own Brand",-1629.7
2017,November,Prod279,"Distribution",-1710.6
2017,November,Prod238,"Own Brand",-2300.8
2017,November,Prod140,"Own Brand",-2333.7
2017,November,Prod025,"Distribution",-2366.1
2017,November,Prod033,"Distribution",-2486.5
2017,November,Prod004,"Own Brand",-2655.3
2017,November,Prod123,"Own Brand",-2702.3
2017,November,Prod091,"Own Brand",-2815.7
2017,November,Prod254,"Own Brand",-3602.1
2017,November,Prod093,"Own Brand",-4194.9
2017,November,Prod267,"Distribution",-4476.9
2017,November,Prod179,"Own Brand",-5179
2017,November,Prod106,"Own Brand",-6268.7
2017,November,Prod062,"Own Brand",-6379
2017,November,Prod214,"Own Brand",-8389.1
2017,November,Prod246,"Own Brand",-8730.2
2017,November,Prod245,"Own Brand",-8859.1
2017,November,Prod241,"Own Brand",-8877.5
2017,November,Prod117,"Distribution",-10242.1
2017,November,Prod024,"Distribution",-13616
2017,November,Prod116,"Distribution",-14788.5
2017,November,Prod053,"Own Brand",-18126.4
2017,November,Prod215,"Own Brand",-26452.9
2017,November,Prod030,"Distribution",-59972.9
2017,October,Prod025,"Distribution",64098.7
2017,October,Prod105,"Own Brand",57218.9
2017,October,Prod245,"Own Brand",51828.4
2017,October,Prod239,"Own Brand",44799.2
2017,October,Prod093,"Own Brand",37247
2017,October,Prod099,"Own Brand",35580
2017,October,Prod113,"Distribution",27538.9
2017,October,Prod214,"Own Brand",22427
2017,October,Prod215,"Own Brand",21980.2
2017,October,Prod129,"Distribution",19795.2
2017,October,Prod213,"Own Brand",17698.6
2017,October,Prod133,"Own Brand",17356
2017,October,Prod001,"Own Brand",16084
2017,October,Prod246,"Own Brand",14775.9
2017,October,Prod013,"Own Brand",14221
2017,October,Prod210,"Own Brand",13125.3
2017,October,Prod039,"Own Brand",12059.8
2017,October,Prod064,"Own Brand",11997.3
2017,October,Prod157,"Own Brand",10489.8
2017,October,Prod220,"Distribution",7910.2
2017,October,Prod267,"Distribution",7466.3
2017,October,Prod086,"Own Brand",6519.2
2017,October,Prod081,"Own Brand",6334.6
2017,October,Prod053,"Own Brand",5849.2
2017,October,Prod198,"Own Brand",5582.5
2017,October,Prod030,"Distribution",4782
2017,October,Prod192,"Distribution",4136.1
2017,October,Prod033,"Distribution",3857.1
2017,October,Prod238,"Own Brand",3687
2017,October,Prod236,"Distribution",3677.1
2017,October,Prod271,"Own Brand",3644.4
2017,October,Prod241,"Own Brand",3162.6
2017,October,Prod177,"Distribution",2720.5
2017,October,Prod254,"Own Brand",2445.1
2017,October,Prod221,"Distribution",2439.3
2017,October,Prod116,"Distribution",2384.9
2017,October,Prod112,"Distribution",2364.3
2017,October,Prod249,"Distribution",2362.5
2017,October,Prod091,"Own Brand",2251.8
2017,October,Prod114,"Distribution",2062.8
2017,October,Prod100,"Own Brand",1835
2017,October,Prod180,"Own Brand",1779.3
2017,October,Prod140,"Own Brand",1675.3
2017,October,Prod128,"Distribution",1596.3
2017,October,Prod103,"Own Brand",1549.5
2017,October,Prod207,"Distribution",1485.2
2017,October,Prod118,"Distribution",1440.4
2017,October,Prod119,"Distribution",1421
2017,October,Prod027,"Distribution",1321.1
2017,October,Prod016,"Own Brand",1043.3
2017,October,Prod218,"Distribution",913.5
2017,October,Prod279,"Distribution",881.7
2017,October,Prod211,"Own Brand",827.6
2017,October,Prod269,"Own Brand",802.6
2017,October,Prod205,"Distribution",619.6
2017,October,Prod250,"Distribution",618.4
2017,October,Prod253,"Own Brand",615.9
2017,October,Prod135,"Own Brand",605.1
2017,October,Prod134,"Own Brand",508.9
2017,October,Prod024,"Distribution",494.4
2017,October,Prod156,"Own Brand",487.4
2017,October,Prod069,"Distribution",458.1
2017,October,Prod275,"Own Brand",432.3
2017,October,Prod255,"Own Brand",319.6
2017,October,Prod272,"Own Brand",300.3
2017,October,Prod263,"Distribution",246.2
2017,October,Prod242,"Own Brand",216.6
2017,October,Prod276,"Own Brand",158.7
2017,October,Prod191,"Distribution",151
2017,October,Prod006,"Own Brand",150.2
2017,October,Prod158,"Distribution",135.4
2017,October,Prod240,"Own Brand",55.4
2017,October,Prod264,"Distribution",46.9
2017,October,Prod104,"Own Brand",37
2017,October,Prod258,"Own Brand",35.9
2017,October,Prod094,"Own Brand",33.1
2017,October,Prod194,"Own Brand",22.8
2017,October,Prod174,"Distribution",7
2017,October,Prod247,"Own Brand",0
2017,October,Prod188,"Distribution",-6
2017,October,Prod248,"Distribution",-6.4
2017,October,Prod175,"Distribution",-14.2
2017,October,Prod139,"Own Brand",-32.7
2017,October,Prod136,"Own Brand",-33.2
2017,October,Prod274,"Own Brand",-36
2017,October,Prod273,"Own Brand",-36.4
2017,October,Prod277,"Own Brand",-46.7
2017,October,Prod208,"Own Brand",-60.1
2017,October,Prod256,"Own Brand",-65.9
2017,October,Prod219,"Distribution",-76.3
2017,October,Prod004,"Own Brand",-101.6
2017,October,Prod038,"Own Brand",-105.4
2017,October,Prod182,"Own Brand",-199.9
2017,October,Prod278,"Distribution",-213.4
2017,October,Prod265,"Distribution",-264.7
2017,October,Prod079,"Own Brand",-289.9
2017,October,Prod185,"Own Brand",-405
2017,October,Prod074,"Distribution",-443.4
2017,October,Prod098,"Own Brand",-458.6
2017,October,Prod019,"Own Brand",-479.1
2017,October,Prod088,"Own Brand",-515.6
2017,October,Prod109,"Own Brand",-522.1
2017,October,Prod196,"Own Brand",-596.8
2017,October,Prod066,"Distribution",-979
2017,October,Prod251,"Distribution",-988.2
2017,October,Prod270,"Own Brand",-1004.8
2017,October,Prod123,"Own Brand",-1163.2
2017,October,Prod268,"Own Brand",-1306.7
2017,October,Prod092,"Own Brand",-1491.2
2017,October,Prod122,"Own Brand",-1577.4
2017,October,Prod176,"Distribution",-1766.6
2017,October,Prod062,"Own Brand",-2129.8
2017,October,Prod065,"Own Brand",-2140.2
2017,October,Prod095,"Own Brand",-2261.6
2017,October,Prod187,"Own Brand",-2527.2
2017,October,Prod137,"Own Brand",-3041.5
2017,October,Prod126,"Own Brand",-3439.3
2017,October,Prod017,"Own Brand",-3551.6
2017,October,Prod178,"Own Brand",-4091.8
2017,October,Prod110,"Distribution",-5024.4
2017,October,Prod232,"Own Brand",-5112.1
2017,October,Prod152,"Own Brand",-5408.5
2017,October,Prod085,"Own Brand",-5801
2017,October,Prod216,"Own Brand",-7058.8
2017,October,Prod252,"Distribution",-7295
2017,October,Prod197,"Own Brand",-7766.5
2017,October,Prod021,"Own Brand",-9768.7
2017,October,Prod199,"Own Brand",-9830.7
2017,October,Prod011,"Own Brand",-11386.8
2017,October,Prod260,"Own Brand",-12233.3
2017,October,Prod057,"Own Brand",-13181.8
2017,October,Prod101,"Own Brand",-13393
2017,October,Prod106,"Own Brand",-15079.9
2017,October,Prod020,"Own Brand",-17869.1
2017,October,Prod117,"Distribution",-18110.8
2017,October,Prod206,"Distribution",-20160.8
2017,October,Prod212,"Own Brand",-20571.1
2017,October,Prod209,"Own Brand",-26885.3
2017,October,Prod102,"Own Brand",-37596.1
2017,October,Prod026,"Distribution",-37704.8
2017,October,Prod060,"Own Brand",-42430.4
2017,October,Prod090,"Own Brand",-45917.3
2017,October,Prod179,"Own Brand",-61546.2
2018,April,Prod167,"Own Brand",173977.9
2018,April,Prod040,"Own Brand",132701.1
2018,April,Prod169,"Own Brand",59748
2018,April,Prod245,"Own Brand",53718.6
2018,April,Prod220,"Distribution",47016.9
2018,April,Prod232,"Own Brand",46666.7
2018,April,Prod214,"Own Brand",42599.7
2018,April,Prod236,"Distribution",37501.7
2018,April,Prod187,"Own Brand",33614.7
2018,April,Prod106,"Own Brand",31810.9
2018,April,Prod024,"Distribution",30644.5
2018,April,Prod060,"Own Brand",30018.3
2018,April,Prod093,"Own Brand",28099
2018,April,Prod053,"Own Brand",23766.9
2018,April,Prod065,"Own Brand",20361.5
2018,April,Prod123,"Own Brand",19843.5
2018,April,Prod209,"Own Brand",19685.4
2018,April,Prod215,"Own Brand",18071.6
2018,April,Prod161,"Distribution",16475.5
2018,April,Prod129,"Distribution",13152.2
2018,April,Prod178,"Own Brand",12713.2
2018,April,Prod267,"Distribution",12658.1
2018,April,Prod057,"Own Brand",11753.6
2018,April,Prod018,"Own Brand",10739.9
2018,April,Prod260,"Own Brand",9079.7
2018,April,Prod013,"Own Brand",9050.1
2018,April,Prod043,"Own Brand",8954.3
2018,April,Prod062,"Own Brand",8375.8
2018,April,Prod258,"Own Brand",7866.6
2018,April,Prod261,"Own Brand",7325
2018,April,Prod160,"Distribution",5918.8
2018,April,Prod166,"Own Brand",5525.2
2018,April,Prod098,"Own Brand",4947.2
2018,April,Prod103,"Own Brand",4698.7
2018,April,Prod251,"Distribution",4165.1
2018,April,Prod216,"Own Brand",4012.1
2018,April,Prod025,"Distribution",4000
2018,April,Prod268,"Own Brand",3310.5
2018,April,Prod204,"Distribution",3110.8
2018,April,Prod255,"Own Brand",3109.2
2018,April,Prod137,"Own Brand",2573.9
2018,April,Prod249,"Distribution",2513.1
2018,April,Prod032,"Distribution",1938.6
2018,April,Prod241,"Own Brand",1918.1
2018,April,Prod269,"Own Brand",1750.8
2018,April,Prod033,"Distribution",1547.7
2018,April,Prod110,"Distribution",1387.2
2018,April,Prod122,"Own Brand",1370.4
2018,April,Prod017,"Own Brand",1333.4
2018,April,Prod157,"Own Brand",1329.8
2018,April,Prod039,"Own Brand",1228.9
2018,April,Prod253,"Own Brand",1094.9
2018,April,Prod114,"Distribution",1043.4
2018,April,Prod270,"Own Brand",1022.7
2018,April,Prod275,"Own Brand",987.2
2018,April,Prod028,"Distribution",949.5
2018,April,Prod263,"Distribution",940.9
2018,April,Prod116,"Distribution",809.6
2018,April,Prod207,"Distribution",668.5
2018,April,Prod250,"Distribution",466.6
2018,April,Prod279,"Distribution",444.7
2018,April,Prod037,"Own Brand",439.7
2018,April,Prod128,"Distribution",346.4
2018,April,Prod274,"Own Brand",305.1
2018,April,Prod172,"Own Brand",219.6
2018,April,Prod023,"Distribution",219.1
2018,April,Prod138,"Own Brand",208.3
2018,April,Prod010,"Own Brand",198.7
2018,April,Prod164,"Own Brand",177.8
2018,April,Prod174,"Distribution",135.3
2018,April,Prod248,"Distribution",131
2018,April,Prod205,"Distribution",130.7
2018,April,Prod119,"Distribution",130.2
2018,April,Prod259,"Own Brand",106.4
2018,April,Prod096,"Own Brand",99.8
2018,April,Prod052,"Own Brand",80.3
2018,April,Prod219,"Distribution",60.7
2018,April,Prod139,"Own Brand",39.9
2018,April,Prod046,"Own Brand",27.2
2018,April,Prod002,"Own Brand",17.5
2018,April,Prod063,"Own Brand",15.8
2018,April,Prod042,"Own Brand",0
2018,April,Prod278,"Distribution",-14.2
2018,April,Prod230,"Own Brand",-71.3
2018,April,Prod089,"Own Brand",-125.1
2018,April,Prod276,"Own Brand",-125.4
2018,April,Prod264,"Distribution",-126.7
2018,April,Prod088,"Own Brand",-128.9
2018,April,Prod273,"Own Brand",-143.4
2018,April,Prod048,"Own Brand",-149.1
2018,April,Prod184,"Own Brand",-183.9
2018,April,Prod029,"Distribution",-202.6
2018,April,Prod221,"Distribution",-216.1
2018,April,Prod272,"Own Brand",-278.5
2018,April,Prod193,"Own Brand",-451
2018,April,Prod011,"Own Brand",-761.9
2018,April,Prod208,"Own Brand",-839.3
2018,April,Prod218,"Distribution",-951.8
2018,April,Prod265,"Distribution",-1059.2
2018,April,Prod126,"Own Brand",-1168
2018,April,Prod095,"Own Brand",-1182.8
2018,April,Prod140,"Own Brand",-1488.5
2018,April,Prod134,"Own Brand",-1671.1
2018,April,Prod152,"Own Brand",-1977
2018,April,Prod195,"Own Brand",-2086.1
2018,April,Prod091,"Own Brand",-2404.3
2018,April,Prod148,"Own Brand",-2422.3
2018,April,Prod067,"Distribution",-2488.9
2018,April,Prod034,"Own Brand",-2613.8
2018,April,Prod176,"Distribution",-2738.2
2018,April,Prod068,"Distribution",-2844.5
2018,April,Prod238,"Own Brand",-3001.5
2018,April,Prod158,"Distribution",-3379.8
2018,April,Prod101,"Own Brand",-3706.2
2018,April,Prod242,"Own Brand",-3724.9
2018,April,Prod097,"Own Brand",-4106.7
2018,April,Prod113,"Distribution",-4678
2018,April,Prod036,"Own Brand",-4825.4
2018,April,Prod118,"Distribution",-4877.3
2018,April,Prod254,"Own Brand",-4891.2
2018,April,Prod100,"Own Brand",-5010.5
2018,April,Prod117,"Distribution",-7017.2
2018,April,Prod252,"Distribution",-8377.4
2018,April,Prod271,"Own Brand",-11706.7
2018,April,Prod246,"Own Brand",-12865.2
2018,April,Prod133,"Own Brand",-15052.1
2018,April,Prod105,"Own Brand",-15529.6
2018,April,Prod159,"Distribution",-16117.9
2018,April,Prod092,"Own Brand",-18346.9
2018,April,Prod102,"Own Brand",-18763
2018,April,Prod038,"Own Brand",-19832.8
2018,April,Prod212,"Own Brand",-20311.2
2018,April,Prod239,"Own Brand",-21530.9
2018,April,Prod213,"Own Brand",-23305
2018,April,Prod135,"Own Brand",-24392.6
2018,April,Prod210,"Own Brand",-24401.1
2018,April,Prod206,"Distribution",-29059.7
2018,April,Prod090,"Own Brand",-38387.7
2018,April,Prod049,"Own Brand",-43916.9
2018,April,Prod099,"Own Brand",-49340.2
2018,August,Prod159,"Distribution",82833.5
2018,August,Prod245,"Own Brand",80242.9
2018,August,Prod239,"Own Brand",68265.4
2018,August,Prod040,"Own Brand",51203
2018,August,Prod133,"Own Brand",38016.2
2018,August,Prod252,"Distribution",28936
2018,August,Prod106,"Own Brand",27162.8
2018,August,Prod018,"Own Brand",22849.1
2018,August,Prod117,"Distribution",18579.8
2018,August,Prod057,"Own Brand",16676.1
2018,August,Prod024,"Distribution",15214.8
2018,August,Prod090,"Own Brand",15178.7
2018,August,Prod060,"Own Brand",14042.3
2018,August,Prod215,"Own Brand",13884.1
2018,August,Prod214,"Own Brand",12824.8
2018,August,Prod209,"Own Brand",11034.5
2018,August,Prod161,"Distribution",9882.7
2018,August,Prod052,"Own Brand",8856
2018,August,Prod271,"Own Brand",8071.9
2018,August,Prod251,"Distribution",7335.9
2018,August,Prod250,"Distribution",7324.3
2018,August,Prod122,"Own Brand",7094.8
2018,August,Prod051,"Own Brand",6639
2018,August,Prod099,"Own Brand",6214.6
2018,August,Prod221,"Distribution",5681.7
2018,August,Prod025,"Distribution",5221.7
2018,August,Prod102,"Own Brand",5156.7
2018,August,Prod085,"Own Brand",4796.3
2018,August,Prod213,"Own Brand",4716.1
2018,August,Prod199,"Own Brand",3264.9
2018,August,Prod204,"Distribution",3068.9
2018,August,Prod169,"Own Brand",3042.4
2018,August,Prod246,"Own Brand",2833.3
2018,August,Prod187,"Own Brand",2782.1
2018,August,Prod253,"Own Brand",2600.3
2018,August,Prod126,"Own Brand",2594.1
2018,August,Prod118,"Distribution",2476
2018,August,Prod140,"Own Brand",2146.7
2018,August,Prod103,"Own Brand",2041.4
2018,August,Prod268,"Own Brand",2023.2
2018,August,Prod089,"Own Brand",1821.7
2018,August,Prod170,"Own Brand",1645.3
2018,August,Prod135,"Own Brand",1596
2018,August,Prod257,"Own Brand",1521.6
2018,August,Prod272,"Own Brand",1497.1
2018,August,Prod263,"Distribution",1387.3
2018,August,Prod275,"Own Brand",1195
2018,August,Prod218,"Distribution",960
2018,August,Prod172,"Own Brand",919.2
2018,August,Prod005,"Own Brand",879.6
2018,August,Prod255,"Own Brand",814.9
2018,August,Prod088,"Own Brand",773.3
2018,August,Prod195,"Own Brand",714.5
2018,August,Prod205,"Distribution",700.6
2018,August,Prod216,"Own Brand",565.7
2018,August,Prod114,"Distribution",557.9
2018,August,Prod193,"Own Brand",540.9
2018,August,Prod091,"Own Brand",520.3
2018,August,Prod105,"Own Brand",517.7
2018,August,Prod092,"Own Brand",441.7
2018,August,Prod123,"Own Brand",439.3
2018,August,Prod241,"Own Brand",417.8
2018,August,Prod270,"Own Brand",363.6
2018,August,Prod249,"Distribution",306
2018,August,Prod278,"Distribution",274.3
2018,August,Prod276,"Own Brand",196
2018,August,Prod274,"Own Brand",192.3
2018,August,Prod259,"Own Brand",165.5
2018,August,Prod148,"Own Brand",147.7
2018,August,Prod219,"Distribution",102.5
2018,August,Prod011,"Own Brand",95.6
2018,August,Prod139,"Own Brand",94.5
2018,August,Prod156,"Own Brand",79.4
2018,August,Prod178,"Own Brand",42.9
2018,August,Prod094,"Own Brand",24.5
2018,August,Prod104,"Own Brand",4.6
2018,August,Prod217,"Own Brand",-6.6
2018,August,Prod264,"Distribution",-28.1
2018,August,Prod192,"Distribution",-34.5
2018,August,Prod063,"Own Brand",-49.8
2018,August,Prod039,"Own Brand",-62.2
2018,August,Prod149,"Own Brand",-67.9
2018,August,Prod043,"Own Brand",-83.4
2018,August,Prod138,"Own Brand",-93.8
2018,August,Prod277,"Own Brand",-131.1
2018,August,Prod269,"Own Brand",-133.3
2018,August,Prod116,"Distribution",-134.4
2018,August,Prod046,"Own Brand",-137.6
2018,August,Prod242,"Own Brand",-144.4
2018,August,Prod164,"Own Brand",-159.5
2018,August,Prod279,"Distribution",-217.4
2018,August,Prod208,"Own Brand",-346.9
2018,August,Prod042,"Own Brand",-400.9
2018,August,Prod158,"Distribution",-429.7
2018,August,Prod207,"Distribution",-457.4
2018,August,Prod273,"Own Brand",-511.3
2018,August,Prod137,"Own Brand",-514.6
2018,August,Prod162,"Distribution",-554.9
2018,August,Prod096,"Own Brand",-562
2018,August,Prod176,"Distribution",-788.1
2018,August,Prod152,"Own Brand",-849
2018,August,Prod220,"Distribution",-904.3
2018,August,Prod254,"Own Brand",-1010.8
2018,August,Prod136,"Own Brand",-1219.9
2018,August,Prod093,"Own Brand",-1266.7
